id,type,name,highway,maxspeed,lanes,oneway
5670575,way,Staple Street,service,20 mph,Unknown,yes
5670578,way,Cherry Street,residential,25 mph,1,yes
5670584,way,South William Street,residential,15 mph,1,yes
5670594,way,Bowery,primary,25 mph,2,yes
5670618,way,3rd Place,residential,20 mph,2,yes
5670633,way,Ridge Street,residential,25 mph,Unknown,yes
5670647,way,Benson Street,service,20 mph,Unknown,Unknown
5670652,way,Allen Street,primary,20 mph,Unknown,yes
5670657,way,Joseph P. Ward Street,residential,20 mph,1,yes
5670658,way,Bayard Street,residential,20 mph,Unknown,yes
5670668,way,Cortlandt Street,residential,20 mph,1,yes
5670703,way,Dover Street,secondary,20 mph,1,yes
5670709,way,Montgomery Street,secondary,25 mph,2,no
5670711,way,Montgomery Street,residential,25 mph,1,yes
5670728,way,Saint John's Lane,residential,20 mph,1,yes
5670773,way,Centre Market Place,residential,25 mph,Unknown,yes
5670792,way,Charlton Street,residential,25 mph,1,yes
5670814,way,Sullivan Street,residential,25 mph,Unknown,yes
5670816,way,Sullivan Street,pedestrian,Unknown,Unknown,no
5670820,way,Howard Street,residential,25 mph,Unknown,yes
5670832,way,James Street,residential,20 mph,1,yes
5670871,way,Fulton Street,pedestrian,Unknown,Unknown,Unknown
5670877,way,John Street,residential,20 mph,1,yes
5670888,way,Clinton Street,residential,25 mph,1,yes
5670896,way,Clarkson Street,secondary,25 mph,1,yes
5670897,way,West 3rd Street,residential,25 mph,Unknown,yes
5670920,way,Stone Street,residential,20 mph,1,yes
5670922,way,Ludlow Street,residential,25 mph,Unknown,yes
5670925,way,Canal Street,pedestrian,Unknown,Unknown,Unknown
5670932,way,Laight Street,trunk,20 mph,2,yes
5671008,way,Beaver Street,residential,20 mph,1,yes
5671028,way,Spring Street,residential,25 mph,2,no
5671083,way,2nd Avenue,primary,25 mph,4,yes
5671084,way,South End Avenue,residential,20 mph,2,no
5671111,way,East 1st Street,residential,25 mph,Unknown,yes
5671121,way,Elk Street,unclassified,20 mph,1,yes
5671140,way,Little West Street,residential,20 mph,1,yes
5671172,way,Centre Street,secondary,20 mph,2,yes
5671179,way,Unknown,service,Unknown,Unknown,yes
5671197,way,South Street,primary,20 mph,2,no
5671198,way,Unknown,motorway_link,40 mph,1,yes
5671202,way,South Street,primary,20 mph,1,yes
5671212,way,Pearl Street,residential,20 mph,2,no
5671291,way,Watts Street,primary,25 mph,4,yes
5671296,way,York Street,residential,20 mph,1,yes
5671307,way,River Terrace,residential,20 mph,2,no
5671314,way,Reade Street,unclassified,20 mph,1,yes
5671322,way,Lafayette Street,residential,25 mph,1,yes
5671326,way,Coenties Slip,pedestrian,Unknown,Unknown,Unknown
5671327,way,Vandam Street,residential,25 mph,Unknown,yes
5671339,way,Hester Street,residential,25 mph,Unknown,yes
5671341,way,Hester Street,residential,25 mph,1,yes
5671354,way,North Moore Street,residential,20 mph,Unknown,yes
5671400,way,Attorney Street,residential,25 mph,Unknown,yes
5671404,way,Willett Street,residential,25 mph,Unknown,yes
5671434,way,Pell Street,residential,20 mph,Unknown,yes
5671436,way,Rector Street,residential,20 mph,1,yes
5671457,way,North End Avenue,residential,20 mph,1,yes
5671458,way,North End Avenue,residential,20 mph,1,yes
5671538,way,Franklin Place,service,20 mph,Unknown,Unknown
5671543,way,Hogan Place,residential,20 mph,1,yes
5671581,way,Monroe Street,service,25 mph,Unknown,Unknown
5671584,way,Monroe Street,residential,20 mph,1,yes
5671587,way,Park Row,secondary,20 mph,3,yes
5671593,way,Frankfort Street,secondary,20 mph,1,yes
5671599,way,Dutch Street,residential,20 mph,1,yes
5671603,way,Bedford Street,residential,25 mph,Unknown,yes
5671608,way,West Houston Street,primary,25 mph,3,yes
5671615,way,William Street,residential,20 mph,1,yes
5671711,way,Mercer Street,residential,25 mph,1,yes
5671713,way,Warren Street,residential,20 mph,Unknown,Unknown
5671717,way,Saint James Place,primary,20 mph,4,Unknown
5671808,way,Battery Park City Greenway,footway,Unknown,Unknown,Unknown
5671920,way,Norfolk Street,primary,25 mph,1,yes
5671928,way,Forsyth Street,residential,20 mph,1,yes
5672006,way,Whitehall Street,residential,20 mph,1,yes
5672027,way,Carlisle Street,residential,20 mph,1,yes
5672060,way,Market Slip,residential,20 mph,2,no
5672080,way,Front Street,pedestrian,Unknown,Unknown,Unknown
5672090,way,Front Street,pedestrian,Unknown,Unknown,Unknown
5672110,way,Worth Street,residential,20 mph,2,Unknown
5672138,way,LaGuardia Place,residential,25 mph,2,Unknown
5672146,way,Morris Street,residential,20 mph,1,yes
5672148,way,Morris Street,residential,20 mph,2,Unknown
5672168,way,Franklin Street,residential,20 mph,1,yes
5672214,way,Jersey Street,service,25 mph,Unknown,yes
5672244,way,West Street,trunk,30 mph,4,yes
5672311,way,Mill Lane,pedestrian,Unknown,Unknown,yes
5672321,way,Cleveland Place,secondary,25 mph,2,yes
5672329,way,White Street,construction,20 mph,Unknown,yes
5672337,way,Unknown,motorway_link,25 mph,2,yes
5672361,way,Wall Street,pedestrian,20 mph,Unknown,no
5672366,way,New Street,pedestrian,20 mph,Unknown,yes
5672377,way,Church Street,secondary,20 mph,3,yes
5672402,way,Rutgers Street,residential,20 mph,Unknown,yes
5672409,way,Baxter Street,residential,20 mph,1,yes
5672410,way,Baxter Street,residential,20 mph,1,yes
5672441,way,Chrystie Street,secondary,25 mph,2,yes
5672497,way,Doyers Street,pedestrian,20 mph,Unknown,yes
5672499,way,Gouverneur Lane,pedestrian,25 mph,Unknown,no
5672528,way,Jefferson Street,residential,25 mph,Unknown,yes
5672550,way,Maiden Lane,tertiary,20 mph,2,Unknown
5672578,way,Renwick Street,residential,25 mph,1,yes
5672625,way,Bond Street,residential,25 mph,Unknown,yes
5672654,way,King Street,unclassified,25 mph,Unknown,yes
5672803,way,Trimble Place,residential,20 mph,1,yes
5672871,way,Greene Street,residential,25 mph,1,yes
5672893,way,Edgar Street,residential,20 mph,1,yes
5672899,way,Orchard Street,residential,25 mph,Unknown,yes
5672911,way,Market Street,residential,20 mph,1,yes
5672912,way,Saint Lukes Place,residential,20 mph,Unknown,yes
5672917,way,Nassau Street,pedestrian,20 mph,Unknown,yes
5672922,way,Carmine Street,residential,25 mph,Unknown,Unknown
5672925,way,Battery Place,primary,20 mph,3,yes
5672942,way,Edens Alley,service,20 mph,Unknown,Unknown
5672971,way,Chatham Square,primary,20 mph,2,yes
5672973,way,Trinity Place,secondary,20 mph,3,yes
5672978,way,Liberty Place,service,20 mph,1,yes
5672980,way,Collister Street,service,20 mph,Unknown,yes
5672986,way,Robert F. Wagner Sr. Place,secondary,20 mph,2,Unknown
5672987,way,Leroy Street,residential,25 mph,Unknown,yes
5672988,way,Leroy Street,residential,20 mph,Unknown,yes
5673035,way,Beekman Street,residential,20 mph,1,yes
5673038,way,Beekman Street,unclassified,20 mph,1,yes
5673071,way,Water Street,pedestrian,Unknown,Unknown,Unknown
5673073,way,Water Street,residential,25 mph,1,yes
5673075,way,Moore Street,residential,20 mph,1,yes
5673077,way,Water Street,residential,20 mph,1,yes
5673078,way,Water Street,primary,20 mph,3,Unknown
5673093,way,East 4th Street,residential,25 mph,1,yes
5673205,way,Exchange Alley,pedestrian,20 mph,Unknown,yes
5673210,way,Crosby Street,residential,25 mph,Unknown,yes
5673211,way,Dey Street,residential,20 mph,1,yes
5673309,way,Minetta Lane,residential,25 mph,Unknown,yes
5673316,way,Prince Street,residential,25 mph,Unknown,yes
5673342,way,Varick Street,secondary,25 mph,3,yes
5673359,way,Catherine Lane,service,20 mph,Unknown,yes
5673424,way,East Broadway,secondary,20 mph,2,no
5673441,way,Jay Street,residential,20 mph,1,yes
5673526,way,Cardinal Hayes Place,residential,25 mph,Unknown,Unknown
5673530,way,Vesey Street,secondary,20 mph,Unknown,yes
5673532,way,Vesey Place,residential,20 mph,2,yes
5673581,way,Gold Street,residential,20 mph,1,yes
5673591,way,Gold Street,residential,20 mph,1,yes
5673594,way,Washington Street,residential,20 mph,1,yes
5673628,way,Thames Street,unclassified,20 mph,1,yes
5674356,way,Unknown,motorway_link,Unknown,1,yes
5675465,way,Water Street,residential,25 mph,1,yes
5675509,way,McKenny Street,residential,25 mph,1,yes
5676045,way,Dock Street,residential,Unknown,1,yes
5676552,way,Pierrepont Street,residential,20 mph,Unknown,yes
5676833,way,John Street,residential,25 mph,1,yes
5676929,way,Anchorage Place,construction,Unknown,Unknown,Unknown
5677124,way,Hicks Street,primary_link,Unknown,Unknown,yes
5677125,way,Pineapple Walk,footway,Unknown,Unknown,Unknown
5677958,way,Adams Street,residential,Unknown,Unknown,Unknown
5677962,way,Adams Street,residential,25 mph,1,yes
5678062,way,Furman Street,secondary,Unknown,1,yes
5678368,way,Poplar Street,residential,20 mph,Unknown,yes
5678461,way,Doughty Street,residential,25 mph,1,yes
5678759,way,Middagh Street,residential,20 mph,Unknown,yes
5678904,way,York Street,tertiary,Unknown,1,yes
5679611,way,Willow Street,residential,20 mph,Unknown,yes
5679816,way,Pierrepont Place,residential,20 mph,Unknown,yes
5680085,way,Orange Street,residential,20 mph,Unknown,yes
5680167,way,Henry Street,residential,20 mph,Unknown,yes
5680220,way,Prospect Street,secondary,25 mph,2,yes
5680522,way,Old Dock Street,pedestrian,Unknown,Unknown,no
5680633,way,Elizabeth Place,residential,25 mph,1,yes
5680883,way,Howard Alley,service,Unknown,Unknown,Unknown
5680994,way,Unknown,footway,Unknown,Unknown,Unknown
5681691,way,Columbia Heights,residential,20 mph,Unknown,yes
5681925,way,Brooklyn-Battery Tunnel,motorway,40 mph,2,yes
5682012,way,Cranberry Street,residential,20 mph,Unknown,yes
5682020,way,Washington Street,residential,Unknown,Unknown,yes
19725512,way,Unknown,primary_link,Unknown,2,yes
19726066,way,FDR Drive,motorway,40 mph,3,yes
19726366,way,South Street,secondary,20 mph,1,yes
20254339,way,New Dock Street,pedestrian,Unknown,Unknown,no
20257429,way,Unknown,footway,Unknown,Unknown,Unknown
20257704,way,Unknown,footway,Unknown,Unknown,Unknown
22898087,way,FDR Drive,motorway,30 mph,2,yes
22898269,way,Church Street,residential,20 mph,3,yes
22927282,way,Unknown,footway,Unknown,Unknown,Unknown
22927287,way,West Houston Street,tertiary,25 mph,2,yes
22927350,way,Unknown,footway,Unknown,Unknown,Unknown
22927356,way,Unknown,footway,Unknown,Unknown,Unknown
22927358,way,Unknown,footway,Unknown,Unknown,Unknown
22927359,way,Unknown,footway,Unknown,Unknown,Unknown
22927361,way,Unknown,footway,Unknown,Unknown,Unknown
22927362,way,Unknown,footway,Unknown,Unknown,Unknown
22927399,way,Laight Street,residential,20 mph,1,yes
22927411,way,Vestry Street,residential,20 mph,1,yes
22927419,way,Varick Street,residential,20 mph,1,yes
22927462,way,Washington Street,residential,20 mph,1,yes
22927463,way,Canal Street,trunk,20 mph,3,yes
22927484,way,Canal Street,trunk,20 mph,3,yes
22927486,way,Watts Street,residential,20 mph,1,yes
22927559,way,Unknown,footway,Unknown,Unknown,Unknown
22927668,way,Liberty Street Bridge,pedestrian,Unknown,Unknown,Unknown
22927765,way,Unknown,motorway_link,25 mph,2,yes
22927850,way,Unknown,motorway_link,25 mph,2,yes
22927873,way,FDR Drive,motorway,30 mph,2,yes
22927903,way,Unknown,motorway_link,25 mph,4,yes
22927906,way,FDR Drive,motorway,30 mph,2,yes
22927946,way,1st Place,residential,20 mph,2,yes
22928102,way,West Thames Street,residential,20 mph,2,no
22946628,way,Holland Tunnel,motorway,35 mph,2,yes
22961860,way,Hudson Street,pedestrian,Unknown,Unknown,Unknown
23042516,way,Unknown,trunk_link,Unknown,2,yes
23168540,way,Main Street,residential,25 mph,Unknown,yes
23168547,way,Plymouth Street,residential,25 mph,Unknown,yes
23168559,way,Pearl Street,residential,Unknown,1,yes
23168567,way,Adams Street,tertiary,Unknown,Unknown,yes
23168577,way,Cadman Plaza East,unclassified,25 mph,2,Unknown
23168582,way,Front Street,tertiary,25 mph,Unknown,yes
24263967,way,West Houston Street,tertiary,25 mph,2,yes
25026344,way,Murray Street,secondary,20 mph,1,yes
25196661,way,Unknown,footway,Unknown,Unknown,Unknown
25198317,way,Broome Street,residential,25 mph,Unknown,yes
25198451,way,Suffolk Street,residential,25 mph,1,yes
25198488,way,Pitt Street,residential,25 mph,Unknown,yes
25199870,way,Thompson Street,residential,25 mph,Unknown,yes
25199883,way,Mercer Street,residential,25 mph,1,yes
25561915,way,Unknown,motorway_link,25 mph,1,yes
25561967,way,Unknown,motorway_link,25 mph,1,yes
25562074,way,Robert F. Wagner Sr. Place,secondary,20 mph,1,yes
25562077,way,Unknown,motorway_link,25 mph,2,yes
25562079,way,Unknown,motorway_link,25 mph,1,yes
25562090,way,Unknown,motorway_link,25 mph,1,yes
25564137,way,Unknown,motorway_link,25 mph,1,yes
25564255,way,Unknown,motorway_link,25 mph,1,yes
25564482,way,Park Row,unclassified,25 mph,1,yes
25564540,way,Unknown,trunk_link,25 mph,2,yes
25564571,way,Avenue of the Finest,residential,20 mph,1,Unknown
25564580,way,Rose Street,residential,20 mph,2,Unknown
25564592,way,Park Row,unclassified,10 mph,1,yes
32922453,way,Brooklyn Bridge,trunk,30 mph,1,yes
32922456,way,Unknown,motorway_link,25 mph,1,yes
32922457,way,Unknown,motorway_link,25 mph,1,yes
32922458,way,Unknown,motorway_link,25 mph,1,yes
32922459,way,Unknown,motorway_link,25 mph,1,yes
32922464,way,Unknown,motorway_link,25 mph,1,yes
32922945,way,Brooklyn Bridge Promenade,footway,Unknown,Unknown,Unknown
32933563,way,Unknown,trunk_link,Unknown,2,yes
32934341,way,Unknown,motorway,25 mph,4,yes
32934343,way,Unknown,motorway_link,25 mph,2,yes
32934345,way,Unknown,footway,Unknown,Unknown,Unknown
32934351,way,Whitehall Street,primary,20 mph,Unknown,yes
32934355,way,FDR Drive,motorway,40 mph,2,yes
32934358,way,South Street,primary,20 mph,1,yes
32934362,way,Unknown,motorway_link,20 mph,1,yes
32935106,way,FDR Drive,motorway,30 mph,2,yes
32935107,way,FDR Drive,motorway,40 mph,2,yes
32935108,way,FDR Drive,motorway,40 mph,1,yes
32935109,way,FDR Drive,motorway,40 mph,3,yes
32935111,way,FDR Drive,motorway,40 mph,3,yes
33119419,way,Unknown,footway,Unknown,Unknown,Unknown
33119428,way,Unknown,footway,Unknown,Unknown,Unknown
34046124,way,Montague Street,unclassified,Unknown,Unknown,yes
37890350,way,Broad Street,residential,20 mph,1,yes
37890351,way,Exchange Place,pedestrian,20 mph,Unknown,yes
38254377,way,Brooklyn-Queens Expressway,motorway,45 mph,3,yes
38605246,way,John Street,unclassified,20 mph,2,Unknown
38605247,way,John Street,residential,20 mph,2,Unknown
38605248,way,Front Street,unclassified,20 mph,1,yes
38605306,way,Clinton Street,cycleway,Unknown,Unknown,no
39015289,way,Hicks Street,primary_link,Unknown,1,yes
39015290,way,Cadman Plaza West,primary,Unknown,2,yes
39250165,way,Rivington Street,pedestrian,Unknown,Unknown,Unknown
39513382,way,Brookyln Bridge Promenade,steps,Unknown,Unknown,Unknown
39513384,way,Front Street,secondary,25 mph,Unknown,Unknown
39513386,way,Hicks Street,primary_link,Unknown,2,yes
39513387,way,Doughty Street,residential,25 mph,Unknown,yes
39513388,way,Everit Street,residential,25 mph,1,yes
39513390,way,Vine Street,residential,25 mph,1,yes
39662322,way,Jefferson Street,pedestrian,Unknown,Unknown,Unknown
39662323,way,Clinton Street,residential,25 mph,Unknown,Unknown
39662324,way,Broome Street,residential,25 mph,Unknown,yes
39772363,way,Cliff Street,service,Unknown,Unknown,no
39772365,way,Beekman Street,pedestrian,Unknown,Unknown,Unknown
39956200,way,Broome Street,residential,25 mph,Unknown,yes
39956202,way,Spruce Street,pedestrian,Unknown,Unknown,no
39956203,way,East Broadway,secondary,25 mph,2,Unknown
39956205,way,Peck Slip,residential,20 mph,1,yes
40117418,way,Unknown,footway,Unknown,Unknown,Unknown
40174797,way,Ridge Street,residential,25 mph,Unknown,yes
40336235,way,Brooklyn Bridge,trunk,30 mph,1,yes
40337665,way,Williamsburg Bridge,motorway,35 mph,4,yes
40337681,way,Delancey Street,primary,25 mph,4,yes
40337691,way,Williamsburg Bridge,motorway,35 mph,4,yes
40338777,way,Williamsburg Bridge Bike Path,cycleway,Unknown,Unknown,no
40534362,way,Brooklyn Bridge Promenade,footway,Unknown,Unknown,Unknown
40709920,way,Stanton Street,pedestrian,Unknown,Unknown,Unknown
40709921,way,Bowery,primary,25 mph,3,yes
40709927,way,Bond Street,residential,25 mph,Unknown,yes
40709928,way,Forsyth Street,residential,25 mph,1,yes
40837875,way,Mechanics Alley,residential,20 mph,1,yes
40837876,way,Unknown,footway,Unknown,Unknown,Unknown
40879212,way,Broome Street,service,25 mph,Unknown,Unknown
40879216,way,Market Slip,residential,20 mph,2,Unknown
40879217,way,Unknown,footway,Unknown,Unknown,Unknown
40879219,way,Unknown,footway,Unknown,Unknown,Unknown
40879220,way,Unknown,footway,Unknown,Unknown,Unknown
40879221,way,Beekman Street,residential,20 mph,1,yes
40879223,way,Gold Street,unclassified,20 mph,1,yes
40956096,way,Pearl Street,pedestrian,Unknown,Unknown,no
40956098,way,Centre Street,secondary,20 mph,2,yes
41520108,way,Forsyth Street,secondary,20 mph,1,yes
42786502,way,Saint James Place,primary,20 mph,2,Unknown
43203195,way,Unknown,trunk_link,35 mph,1,yes
44165021,way,Unknown,footway,Unknown,Unknown,Unknown
44165022,way,Unknown,footway,Unknown,Unknown,Unknown
44165025,way,Unknown,footway,Unknown,Unknown,Unknown
44225575,way,Vesey Street,residential,20 mph,2,Unknown
44225576,way,Vesey Street,unclassified,Unknown,1,yes
44226054,way,Unknown,footway,Unknown,Unknown,Unknown
46116170,way,Unknown,primary_link,Unknown,1,yes
46116177,way,Unknown,motorway,25 mph,3,yes
46116180,way,Unknown,motorway,25 mph,2,yes
46116181,way,West Street,primary,30 mph,2,yes
46116183,way,Robert F. Wagner Sr. Place,secondary,20 mph,4,yes
46116280,way,Brooklyn Bridge,trunk,30 mph,1,yes
46116314,way,Centre Street,secondary,20 mph,2,yes
46116316,way,Brooklyn Bridge,trunk,30 mph,2,yes
46116326,way,Park Row,secondary,20 mph,2,yes
46116329,way,Barclay Street,secondary,20 mph,1,yes
46116332,way,Park Row,residential,10 mph,1,yes
46116390,way,Watts Street,residential,25 mph,Unknown,yes
46116403,way,Broome Street,service,20 mph,Unknown,no
46116435,way,Beach Street,residential,20 mph,2,yes
46116441,way,Unknown,motorway_link,25 mph,1,yes
46116442,way,Unknown,motorway_link,25 mph,1,yes
46121845,way,Unknown,motorway_link,Unknown,1,yes
46121846,way,Hicks Street,primary_link,Unknown,2,yes
46121847,way,Old Fulton Street,primary,Unknown,3,yes
46121879,way,Unknown,trunk_link,Unknown,1,yes
46139033,way,Varick Street,primary,25 mph,2,yes
46139034,way,Varick Street,primary,25 mph,4,yes
46139035,way,West Broadway,primary,20 mph,3,yes
46139036,way,West Broadway,secondary,20 mph,1,yes
46139038,way,Lafayette Street,primary,25 mph,2,yes
46139039,way,Lafayette Street,secondary,20 mph,2,yes
46139040,way,Hudson Street,trunk,20 mph,5,yes
46139041,way,Hudson Street,secondary,25 mph,2,yes
46139042,way,Hudson Street,secondary,20 mph,5,yes
46139043,way,Chrystie Street,secondary,25 mph,Unknown,no
46139045,way,6th Avenue,secondary,25 mph,3,yes
46139046,way,6th Avenue,primary,20 mph,3,yes
46139047,way,Allen Street,primary,25 mph,Unknown,yes
46139048,way,Allen Street,primary,25 mph,2,yes
46154281,way,Henry Street,residential,25 mph,2,Unknown
46154285,way,Bowery,primary,20 mph,3,yes
46154286,way,South Street,primary,25 mph,1,yes
46154287,way,Montgomery Street,secondary,25 mph,2,Unknown
46154291,way,Canal Street,secondary,20 mph,2,Unknown
46154294,way,Mechanics Alley,service,20 mph,Unknown,Unknown
46154296,way,Henry Street,residential,25 mph,Unknown,yes
46154300,way,Water Street,residential,20 mph,1,yes
46154324,way,Catherine Slip,residential,20 mph,1,yes
46154325,way,Unknown,footway,Unknown,Unknown,Unknown
46154327,way,Maiden Lane,residential,20 mph,1,yes
46154329,way,Burling Slip,pedestrian,Unknown,Unknown,Unknown
46154330,way,Fulton Street,residential,20 mph,2,Unknown
46154332,way,Front Street,residential,20 mph,1,yes
46154337,way,South Street,primary,20 mph,2,Unknown
46154338,way,Pine Street,residential,20 mph,1,yes
46156708,way,Holland Tunnel Rotary,motorway,25 mph,2,yes
46160083,way,Unknown,secondary_link,20 mph,1,yes
46160098,way,Spruce Street,residential,20 mph,Unknown,yes
46160106,way,Murray Street,residential,20 mph,4,Unknown
46160153,way,Beekman Street,residential,20 mph,1,yes
46160225,way,Fulton Street,residential,20 mph,Unknown,yes
46160244,way,Gold Street,residential,20 mph,2,no
46160250,way,William Street,service,Unknown,Unknown,no
46160330,way,Liberty Street,residential,20 mph,1,yes
46160365,way,Nassau Street,residential,20 mph,1,yes
46160386,way,Exchange Place,residential,20 mph,1,yes
46160403,way,Hanover Square,residential,20 mph,2,no
46160404,way,Battery Place,residential,20 mph,2,no
46160406,way,Whitehall Street,residential,20 mph,1,yes
46165807,way,Murray Street,residential,20 mph,2,no
46165809,way,North End Avenue,service,Unknown,2,no
46165810,way,Murray Street,residential,20 mph,2,yes
46165812,way,Murray Street,secondary,20 mph,2,no
46165813,way,Warren Street,residential,20 mph,2,Unknown
46165814,way,Chambers Street,residential,20 mph,2,Unknown
46165815,way,North End Avenue,residential,20 mph,4,Unknown
46165816,way,Albany Street,residential,20 mph,2,Unknown
46165818,way,Unknown,motorway_link,25 mph,2,yes
46165819,way,2nd Place,residential,20 mph,2,Unknown
46165820,way,Unknown,footway,Unknown,Unknown,Unknown
46165821,way,3rd Place,residential,20 mph,2,Unknown
46165822,way,1st Place,footway,Unknown,Unknown,Unknown
46166212,way,Greenwich Street,residential,20 mph,2,Unknown
46166213,way,Unknown,motorway_link,25 mph,1,yes
46171876,way,Greenwich Street,residential,25 mph,Unknown,yes
46171878,way,West Broadway,secondary,20 mph,2,yes
46171879,way,West Broadway,residential,20 mph,2,yes
46171880,way,Murray Street,secondary,20 mph,1,yes
46171883,way,West Broadway,secondary,20 mph,2,yes
46171884,way,Greenwich Street,residential,20 mph,Unknown,yes
46171887,way,West Broadway,secondary,20 mph,2,yes
46171888,way,Liberty Street,unclassified,20 mph,3,no
46171889,way,Washington Street,residential,20 mph,1,yes
46171907,way,Thames Street,unclassified,20 mph,1,yes
46177111,way,Unknown,motorway_link,Unknown,1,yes
46177116,way,Brooklyn Bridge,trunk,30 mph,1,yes
46177118,way,Brooklyn Bridge Promenade,footway,Unknown,Unknown,Unknown
46177122,way,Unknown,motorway_link,Unknown,1,yes
46177123,way,Unknown,motorway_link,Unknown,1,yes
46177152,way,Brooklyn Bridge,trunk,30 mph,3,yes
46177164,way,Unknown,motorway_link,25 mph,2,yes
46177171,way,Unknown,motorway_link,25 mph,1,yes
46177182,way,Unknown,motorway_link,25 mph,2,yes
46177184,way,Unknown,motorway_link,25 mph,1,yes
46179210,way,Manhattan Bridge,trunk,35 mph,2,yes
46179212,way,Manhattan Bridge,trunk,35 mph,2,yes
46179213,way,Manhattan Bridge Bike Path,cycleway,Unknown,2,no
46179214,way,Manhattan Bridge Pedestrian Path,footway,Unknown,Unknown,Unknown
46179217,way,Manhattan Bridge,trunk,35 mph,2,yes
46179218,way,Manhattan Bridge Bike Path,cycleway,Unknown,2,no
46186480,way,Unknown,motorway_link,Unknown,1,yes
46189288,way,Manhattan Bridge Lower Level,trunk,35 mph,3,yes
46189291,way,Manhattan Bridge lower level,trunk,35 mph,3,yes
46189305,way,Manhattan Bridge lower level,trunk,35 mph,3,yes
